Player,Team ID,Position,Cost (£),Selected (%),Form,Points
Robinson,9,2,4.8,19.0,3.0,55
Stansfield,9,4,5.0,0.0,0.0,1
Tete,9,2,4.5,0.4,2.2,37
Vinicius,9,4,5.0,0.3,0.0,0
Wilson,9,3,5.2,0.3,1.4,30
Sessegnon,9,2,4.2,0.1,0.2,1
J.Cuenca,9,2,4.4,0.0,0.6,4
King,9,3,4.5,0.1,0.2,1
Godo,9,3,4.5,0.0,0.0,0
Berge,9,3,5.0,0.0,1.6,23
Amissah,9,2,4.0,0.0,0.0,0
Al-Hamadi,10,4,4.8,0.3,0.8,5
Baggott,10,2,4.0,0.0,0.0,0
Broadhead,10,3,4.9,0.0,0.4,2
Burgess,10,2,4.0,2.5,2.0,15
Burns,10,3,4.8,0.0,2.2,21
Chaplin,10,3,5.1,0.1,3.2,31
H.Clarke,10,2,4.0,0.1,0.8,0
Davis,10,2,4.5,2.5,1.8,41
Delap,10,4,5.6,3.9,1.6,59
Edmundson,10,2,4.0,0.1,0.0,1
Greaves,10,2,4.0,3.7,0.2,12
Harness,10,3,4.9,0.0,0.0,2
Hirst,10,4,5.4,0.0,0.0,17
Humphreys,10,3,4.5,0.0,0.0,0
Hutchinson,10,3,5.2,0.4,3.4,39
Johnson,10,2,3.9,2.2,0.4,9
Ladapo,10,4,4.5,0.5,0.0,0
Luongo,10,3,4.4,0.3,0.0,7
Morsy,10,3,4.9,0.2,2.0,40
Ndaba,10,2,4.0,0.0,0.0,0
Slicker,10,1,4.0,0.6,0.0,0
Taylor,10,3,4.8,0.0,2.2,15
Tuanzebe,10,2,4.0,1.9,0.6,15
Walton,10,1,4.3,0.2,0.0,2
Woolfenden,10,2,4.0,1.5,0.0,4
Phillips,10,3,4.8,0.1,0.0,11
Muric,10,1,4.4,1.1,3.0,44
Townsend,10,2,4.0,0.4,0.0,1
Szmodics,10,3,5.8,0.3,1.2,40
Cajuste,10,3,4.5,0.1,1.6,15
O'Shea,10,2,4.0,2.0,1.4,21
J.Clarke,10,3,5.5,0.0,1.8,23
Ogbene,10,3,4.9,0.0,0.0,7
Buonanotte,11,3,5.0,1.0,2.4,50
J.Ayew,11,3,5.2,0.2,2.4,36
Edouard,11,4,5.1,0.2,0.0,7
B.Soumaré,11,3,4.4,0.4,1.0,9
Cannon,11,4,4.5,0.4,0.0,0
Choudhury,11,3,4.3,1.3,0.2,2
Coady,11,2,4.0,0.4,0.6,3
Daka,11,4,4.8,0.8,2.2,11
De Cordova-Reid,11,3,5.2,0.1,3.6,26
Faes,11,2,4.1,10.3,0.4,25
Golding,11,3,4.4,0.2,0.0,0
Hermansen,11,1,4.5,0.8,2.0,38
Iversen,11,1,3.9,0.6,0.0,0
Justin,11,2,4.4,2.4,0.6,35
Kristiansen,11,2,4.5,0.1,1.4,20
Marcal,11,3,4.5,0.0,0.0,0
Mavididi,11,3,5.2,0.4,1.0,34
McAteer,11,3,4.7,0.1,2.4,17
Ndidi,11,3,5.0,0.3,1.2,37
Okoli,11,2,4.0,1.0,0.2,14
Ricardo,11,2,4.1,0.1,0.0,2
Souttar,11,2,4.0,0.0,0.0,0
Stolarczyk,11,1,4.0,0.0,0.0,0
Thomas,11,2,3.9,1.8,0.0,0
Vardy,11,4,5.6,9.4,4.8,67
Vestergaard,11,2,4.0,1.7,0.2,6
Ward,11,1,4.0,2.0,0.2,1
Winks,11,3,4.5,7.2,0.2,23
Skipp,11,3,4.8,0.0,0.8,13
A.Fatawu,11,3,5.2,0.2,0.0,26
Alves,11,3,4.5,0.1,0.0,0
Nelson,11,2,4.0,0.0,0.0,0
El Khannouss,11,3,4.8,0.3,4.0,28
Cartwright,11,3,4.5,0.0,0.0,0
A.Becker,12,1,5.4,5.6,0.2,36
Alexander-Arnold,12,2,7.0,21.8,3.8,62
Bajcetic,12,3,4.5,0.0,0.0,0
Bradley,12,2,4.7,0.3,0.0,11
Clark,12,3,4.5,0.0,0.0,0
Darwin,12,4,7.1,2.1,1.8,30
Diogo J.,12,3,7.2,3.0,2.0,43
Doak,12,3,4.5,0.0,0.0,0
Elliott,12,3,5.2,0.2,0.5,3
Endo,12,3,4.7,0.1,0.2,6
Gakpo,12,4,7.1,3.1,5.2,43
Gomez,12,2,4.9,2.1,2.0,11
Gravenberch,12,3,5.0,0.9,2.5,37
Jones,12,3,5.3,0.6,2.8,39
Kelleher,12,1,4.5,3.8,4.0,37
Konaté,12,2,5.1,4.2,0.0,46
Luis Díaz,12,3,7.4,15.0,2.2,73
M.Salah,12,3,13.4,63.5,12.2,156
Mac Allister,12,3,6.2,1.3,1.2,25
McConnell,12,3,4.4,0.1,0.0,0
Morton,12,3,4.4,0.1,0.0,0
N.Phillips,12,2,4.0,0.1,0.0,0
Quansah,12,2,3.9,1.8,0.5,3
R.Williams,12,2,4.0,0.1,0.0,0
Robertson,12,2,5.9,5.3,1.2,44
Szoboszlai,12,3,6.3,1.5,4.0,43
Tsimikas,12,2,4.6,0.2,0.0,13
Virgil,12,2,6.5,25.1,2.2,65
Chiesa,12,3,6.8,0.1,0.0,1
Jaros,12,1,4.0,0.2,0.0,1
Davies,12,1,4.0,0.0,0.0,0
Nyoni,12,3,4.5,0.0,0.0,0
Nallo,12,2,4.0,0.0,0.0,0
Akanji,13,2,5.3,2.7,0.0,23
Aké,13,2,5.3,0.8,1.4,9
Bernardo,13,3,6.3,3.5,3.6,51
Bobb,13,3,4.7,0.1,0.0,0
Carson,13,1,4.0,0.2,0.0,0
De Bruyne,13,3,9.5,4.9,4.6,42
Doku,13,3,6.2,1.7,3.6,40
Ederson M.,13,1,5.4,6.3,0.4,34
Foden,13,3,9.1,3.9,1.0,21
Grealish,13,3,6.4,0.2,1.4,22
Gvardiol,13,2,6.1,23.8,2.8,64
Haaland,13,4,14.9,37.6,3.6,100
J.Alvarez,13,4,7.0,0.1,0.0,0
João Cancelo,13,2,5.3,0.2,0.0,0
Kovačić,13,3,5.4,1.3,0.2,46
Lewis,13,2,4.6,7.6,1.2,36
Matheus N.,13,3,4.9,0.2,2.0,28
McAtee,13,3,4.6,0.0,0.2,2
Ortega Moreno,13,1,5.2,0.6,2.0,10
Rodrigo,13,3,6.3,0.8,0.0,2
Rúben,13,2,5.4,3.0,1.8,28
Stones,13,2,5.3,1.3,0.0,20
Walker,13,2,5.2,3.4,0.6,11
Sávio,13,3,6.4,0.8,1.4,36
O’Reilly,13,3,4.9,0.0,0.0,0
Gündogan,13,3,6.5,0.4,1.8,30
Kaboré,13,2,4.5,0.0,0.0,0
Wright,13,3,4.5,0.0,0.0,0
Simpson-Pusey,13,2,4.0,0.0,0.0,0
Wilson-Esbrand,13,2,4.0,0.0,0.0,0
Mubama,13,4,4.5,0.0,0.0,0
Amad,14,3,5.2,12.1,7.6,65
Antony,14,3,5.7,0.2,0.4,4
B.Fernandes,14,3,8.4,14.4,6.2,81
Bayindir,14,1,4.3,0.1,0.0,0
Casemiro,14,3,4.8,0.6,0.8,29
Dalot,14,2,5.2,10.1,2.4,51
Eriksen,14,3,5.3,0.2,0.4,16
Evans,14,2,4.4,0.1,0.2,14
Garnacho,14,3,6.2,6.9,1.6,48
Hannibal,14,3,4.5,0.0,0.0,0
Heaton,14,1,4.0,0.2,0.0,0
Højlund,14,4,6.9,1.8,2.4,33
Lindelof,14,2,4.3,0.1,0.2,4
Maguire,14,2,4.9,0.5,0.8,12
Mainoo,14,3,5.2,2.0,1.2,19
Malacia,14,2,4.4,0.0,0.0,0
Martinez,14,2,4.4,3.8,2.4,41
McTominay,14,3,4.9,0.1,0.0,2
Mount,14,3,6.3,0.1,1.0,8
Onana,14,1,5.2,9.9,2.8,67
Pellistri,14,3,5.0,0.0,0.0,0
Rashford,14,3,6.8,3.6,4.8,54
Shaw,14,2,4.9,0.2,0.4,2
Zirkzee,14,4,6.6,1.7,3.4,40
Yoro,14,2,4.3,0.2,0.6,3
De Ligt,14,2,5.0,4.7,1.4,42
Mazraoui,14,2,4.7,16.1,1.4,46
Collyer,14,3,4.5,0.0,0.0,1
Wheatley,14,4,4.5,1.8,0.0,0
Ugarte,14,3,4.9,0.1,1.4,15
Fletcher,14,3,4.5,0.0,0.0,0
Amass,14,2,4.0,0.0,0.0,0
Fitzgerald,14,3,4.5,0.0,0.0,0
Kukonki,14,2,4.0,0.0,0.0,0
A.Murphy,15,2,4.0,0.8,0.0,0
Almirón,15,3,5.5,0.4,0.2,7
Barnes,15,3,6.2,2.0,2.4,61
Botman,15,2,4.4,0.0,0.0,0
Bruno G.,15,3,6.1,1.7,4.2,49
Burn,15,2,4.4,6.9,2.2,38
Dúbravka,15,1,4.2,0.7,1.2,6
Gordon,15,3,7.2,9.1,4.4,61
Hall,15,2,4.6,10.0,4.0,52
Hayden,15,3,4.4,0.1,0.0,0
Isak,15,4,8.7,28.3,6.6,80
J.Murphy,15,3,4.9,0.7,4.6,42
Joelinton,15,3,6.0,1.3,1.8,45
Kelly,15,2,4.3,0.1,0.0,10
Krafth,15,2,4.3,0.1,0.0,10
Kuol,15,3,4.4,0.0,0.0,0
Lascelles,15,2,4.5,0.0,0.0,0
Lewis,15,2,4.0,0.2,0.0,0
Livramento,15,2,4.5,2.2,2.0,37
Longstaff,15,3,4.7,0.5,1.2,24
Miley,15,3,5.0,0.0,0.0,0
Odysseas,15,1,4.3,0.1,0.0,0
Pope,15,1,5.0,5.2,1.0,48
Ruddy,15,1,4.0,0.3,0.0,0
Schär,15,2,5.4,2.0,3.2,38
Targett,15,2,4.0,0.3,0.0,0
Tonali,15,3,5.5,0.3,1.6,22
Trippier,15,2,5.6,3.3,0.6,16
White,15,3,4.5,0.1,0.0,0
Willock,15,3,4.8,0.2,1.0,19
Wilson,15,4,6.9,0.1,0.6,3
Pivas,15,2,4.0,0.1,0.0,0
Osula,15,4,4.9,0.2,0.2,5
Alex Moreno,16,2,4.4,0.6,0.6,30
Aina,16,2,4.9,14.7,2.4,60
Anderson,16,3,5.0,0.2,3.2,44
Awoniyi,16,4,5.5,0.3,0.8,12
Boly,16,2,4.2,0.1,0.2,4
Bowler,16,3,4.5,0.0,0.0,0
C.Miguel,16,1,4.2,0.2,0.0,0
Da Silva Moreira,16,3,4.4,0.1,0.2,2
Danilo,16,3,4.7,0.0,0.0,1
Dennis,16,4,4.9,0.3,0.0,0
Dominguez,16,3,4.8,0.0,1.4,19
Elanga,16,3,5.1,0.7,2.2,36
Gibbs-White,16,3,6.3,1.4,4.8,45
Hudson-Odoi,16,3,5.4,1.8,2.4,50
Mighten,16,3,4.5,0.0,0.0,0
Murillo,16,2,4.6,3.4,2.2,55
N.Williams,16,2,4.3,0.4,1.8,22
O.Richards,16,2,4.5,0.0,0.0,0
O'Brien,16,3,5.0,0.0,0.0,0
Omobamidele,16,2,4.3,0.1,0.0,0
Panzo,16,2,4.0,0.0,0.0,0
Sangaré,16,3,4.4,0.7,0.0,4
